frame_id,timestamp,source,landmark_name,x_norm,y_norm,z_norm,handedness,visibility
38,3.601778268814087,HAND_0,INDEX_FINGER_TIP,-0.028985053300857544,0.5547923445701599,-0.10534965991973877,Left,
39,3.6837728023529053,HAND_0,WRIST_HAND,0.23490417003631592,0.8486968874931335,5.080037794868986e-07,Left,
39,3.6837728023529053,HAND_0,INDEX_FINGER_TIP,-0.028467461466789246,0.5562022924423218,-0.09534883499145508,Left,
40,3.7769923210144043,HAND_0,WRIST_HAND,0.24725274741649628,0.8641760349273682,5.211878715272178e-07,Left,
40,3.7769923210144043,HAND_0,INDEX_FINGER_TIP,-0.009474053978919983,0.5330607295036316,-0.11100424826145172,Left,
41,3.8760130405426025,HAND_0,WRIST_HAND,0.26900508999824524,0.8364921808242798,4.884842610408668e-07,Left,
41,3.8760130405426025,HAND_0,INDEX_FINGER_TIP,0.027348682284355164,0.5125866532325745,-0.08362437039613724,Left,
42,3.9626576900482178,HAND_0,WRIST_HAND,0.2783392667770386,0.8152881860733032,4.5259182002155285e-07,Left,
42,3.9626576900482178,HAND_0,INDEX_FINGER_TIP,0.03448134660720825,0.49839937686920166,-0.0796402171254158,Left,
43,4.061168432235718,HAND_0,WRIST_HAND,0.33070915937423706,0.7518883943557739,3.963184838084999e-07,Left,
43,4.061168432235718,HAND_0,INDEX_FINGER_TIP,0.10992278158664703,0.4011916220188141,-0.08458501100540161,Left,
44,4.180981159210205,HAND_0,WRIST_HAND,0.3531709909439087,0.7269126176834106,4.2636074226720666e-07,Left,
44,4.180981159210205,HAND_0,INDEX_FINGER_TIP,0.1341586410999298,0.36803287267684937,-0.08243825286626816,Left,
45,4.276870489120483,HAND_0,WRIST_HAND,0.41033148765563965,0.685485303401947,4.5916982571725384e-07,Left,
45,4.276870489120483,HAND_0,INDEX_FINGER_TIP,0.2172796130180359,0.2842359244823456,-0.10018010437488556,Left,
46,4.3814778327941895,HAND_0,WRIST_HAND,0.4404725134372711,0.6572531461715698,5.268581162454211e-07,Left,
46,4.3814778327941895,HAND_0,INDEX_FINGER_TIP,0.25647515058517456,0.23908847570419312,-0.10938534885644913,Left,
47,4.459317207336426,HAND_0,WRIST_HAND,0.4537975788116455,0.6508722305297852,5.576466719503514e-07,Left,
47,4.459317207336426,HAND_0,INDEX_FINGER_TIP,0.2657730281352997,0.2233412265777588,-0.08680357784032822,Left,
48,4.540590047836304,HAND_0,WRIST_HAND,0.45929306745529175,0.6500047445297241,5.655470545207208e-07,Left,
48,4.540590047836304,HAND_0,INDEX_FINGER_TIP,0.2827509641647339,0.21621617674827576,-0.0804734155535698,Left,
49,4.63729190826416,HAND_0,WRIST_HAND,0.4628142714500427,0.6504800915718079,5.64133586067328e-07,Left,
49,4.63729190826416,HAND_0,INDEX_FINGER_TIP,0.28952860832214355,0.21015143394470215,-0.08336399495601654,Left,
50,4.72769021987915,HAND_0,WRIST_HAND,0.465342253446579,0.6521036624908447,5.821917170578672e-07,Left,
50,4.72769021987915,HAND_0,INDEX_FINGER_TIP,0.2922877371311188,0.20692376792430878,-0.08314360678195953,Left,
51,4.823216438293457,HAND_0,WRIST_HAND,0.46669504046440125,0.6666195392608643,5.592796696873847e-07,Left,
51,4.823216438293457,HAND_0,INDEX_FINGER_TIP,0.29320666193962097,0.2162361741065979,-0.0866074487566948,Left,
52,4.9145965576171875,HAND_0,WRIST_HAND,0.4690135717391968,0.6772621273994446,5.250932986200496e-07,Left,
52,4.9145965576171875,HAND_0,INDEX_FINGER_TIP,0.29305338859558105,0.2228248417377472,-0.08553016930818558,Left,
53,5.0177342891693115,HAND_0,WRIST_HAND,0.4683561623096466,0.7096515893936157,5.315999942467897e-07,Left,
